# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 01 31   89.20489201 86.76942300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 01 32   87.75102210 86.19338600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 01 40   95.36610303 94.86992900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 01 41   209.39842807 94.06587900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 01 42   104.04139005 94.24189000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 02 10   91.38592989 178.61116300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 02 31   177.00312105 174.39089800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 02 32   88.63726289 173.45084000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 04 10   101.10205707 363.86674000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 04 31   357.12369290 352.43802600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 04 32   98.66890411 368.92705600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 04 40   103.93433793 392.48452800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 04 41   106.34465798 388.16825900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 04 42   109.67072592 391.36045800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 08 10   185.97756412 724.96130700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 08 31   657.61191309 651.49271600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 08 32   188.61838409 735.22194800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 16 10   378.76145102 1445.15431600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 16 31   1269.97732811 1257.97461800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000016 16 16 32   371.18344712 1413.04431000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 01 10   91.66647007 91.00168700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 01 40   102.57110697 100.74229600
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 01 41   199.58030689 101.55034700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 01 42   121.75305000 109.09081800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 04 10   105.09091497 377.62760100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 04 40   109.35379200 412.74979500
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 04 41   417.37705606 460.16075900
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000032 16 04 42   113.78837607 412.49778000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 16 01 10   94.40370604 93.64185200
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 16 01 40   106.66551899 104.69054300
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 16 01 42   114.86770295 109.95087200
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 16 04 10   104.70302604 393.31658100
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 16 04 40   112.06958098 432.35902000
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 16 04 41   142.34295011 461.58084700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000064 16 04 42   111.51011292 429.58284800
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 01 10   95.93955095 94.04987700
Bench_McLachlan_Carpet_1lev 000010 0065 ranger   000128 16 01 40   104.61909200 103.17044800
