# Cactus benchmark results
#    processes = procs
#    nodes     = procs / ppn
#
# benchmark steps size machine   procs ppn tpp iter   walltime cputime
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 08 01 00   77.02633092 76.15000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 08 02 00   71.67237792 141.09000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 08 04 00   72.50953107 279.54000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000032 08 08 00   71.89221901 551.84000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000064 08 01 00   79.72543589 78.72000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000064 08 02 00   76.28469704 147.91000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000064 08 04 00   79.45813789 305.16000000
Bench_McLachlan_Carpet_1lev 000010 0050 queenbee   000064 08 08 00   69.79828899 541.99000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000001 01 01 00   86.92048394 86.56000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000002 01 01 00   90.59310710 90.20000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000002 02 01 00   92.60329998 92.20000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000002 02 02 00   91.51956795 181.30000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 01 01 00   99.35977708 99.05000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 02 01 00   103.30395993 102.90000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 02 02 00   103.62783197 205.27000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 04 01 00   113.27748195 112.50000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 04 02 00   109.69068007 217.39000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000004 04 04 00   99.98610305 394.51000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 01 01 00   103.91437210 103.46000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 02 01 00   110.88415189 110.39000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 02 02 00   102.79666589 203.75000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 04 01 00   118.65965096 118.04000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 04 02 00   111.15007998 220.11000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 04 04 00   110.80149204 426.70000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 01 00   153.31849594 151.81000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 02 00   140.13946808 276.55000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 04 00   134.71218697 519.74000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 08 00   128.84487992 976.47000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 08 01   128.63244905 978.01000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000008 08 08 02   128.92663906 977.65000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 02 01 00   113.69616604 113.14000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 02 02 00   115.68996510 226.93000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 04 01 00   120.65286310 120.01000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 04 02 00   121.77095909 239.89000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 04 04 00   120.70843006 463.36000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 08 01 00   155.61644898 154.10000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 08 02 00   151.03736605 294.84000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 08 04 00   146.27602096 560.85000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 08 08 00   138.54636898 1050.16000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 08 08 01   138.32380789 1051.05000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000016 08 08 02   138.29716198 1050.80000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 04 01 00   124.63363612 123.97000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 04 02 00   129.02028296 253.88000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 04 04 00   127.68253306 483.85000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 08 01 00   161.69497792 160.36000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 08 02 00   156.97252394 307.77000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 08 04 00   153.42513590 586.34000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 08 08 00   143.57006003 1089.71000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 08 08 01   144.63520108 1096.64000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000032 08 08 02   145.46188598 1101.71000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000064 08 01 00   165.95589590 164.58000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000064 08 02 00   162.21556801 314.23000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000064 08 04 00   159.69502009 604.25000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000064 08 08 00   149.45360704 1142.90000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000064 08 08 01   149.65203011 1144.72000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000064 08 08 02   149.65125192 1148.56000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000128 08 08 00   163.29604698 1249.20000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000128 08 08 01   163.19706593 1243.51000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000128 08 08 02   162.81985004 1245.85000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000256 08 08 00   167.29902997 1214.92000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000256 08 08 01   164.17879108 1211.36000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000256 08 08 02   164.35978800 1218.76000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000512 08 08 00   171.47582197 1278.56000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000512 08 08 01   172.50656399 1283.77000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   000512 08 08 02   172.55246093 1271.73000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   001024 08 08 00   172.78898898 1279.59000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   001024 08 08 01   173.07974097 1278.18000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   001024 08 08 02   174.05483007 1285.97000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   002048 08 08 00   175.98954907 1245.02000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   002048 08 08 01   176.12608609 1247.00000000
Bench_McLachlan_Carpet_1lev 000010 0065 queenbee   002048 08 08 02   175.68515493 1233.51000000
Bench_McLachlan_Carpet_1lev 000010 0080 queenbee   000001 01 01 00   159.67817495 159.19000000
Bench_McLachlan_Carpet_1lev 000010 0080 queenbee   000002 01 01 00   168.65589290 168.01000000
Bench_McLachlan_Carpet_1lev 000010 0080 queenbee   000002 02 01 00   172.34424602 171.68000000
